SESSIONID,CARPARKNUMBER,VEHICLETYPE,SESSIONSTART,SESSIONEND,TOTAL_CHARGE,DURATION,EFFECTIVE_CHARGE,LOT_NUMBER,LABEL_TYPE
0PL81-E-00001-20211004200427,PL81,C,4/10/2021 20:04,5/10/2021 9:56,0,832,0,133,1
0PL81-L-00354-20211004200608,PL81,C,4/10/2021 20:06,5/10/2021 6:49,0,643,0,354,1
0PL81-L-00287-20211004200625,PL81,C,4/10/2021 20:06,5/10/2021 12:08,0,962,0,287,1
0PL81-E-00001-20211004200638,PL81,C,4/10/2021 20:06,4/10/2021 20:36,0,30,0,187,1
0PL81-E-00001-20211004200736,PL81,C,4/10/2021 20:07,4/10/2021 22:04,0,117,0,145,1
0PL81-E-00001-20211004201055,PL81,C,4/10/2021 20:10,5/10/2021 7:27,0,677,0,248,1
0PL81-L-00080-20211004201624,PL81,C,4/10/2021 20:16,5/10/2021 7:30,0,674,0,80,1
0PL81-E-00001-20211004201902,PL81,C,4/10/2021 20:19,5/10/2021 6:55,0,636,0,60,1
0PL81-E-00001-20211004202454,PL81,C,4/10/2021 20:24,5/10/2021 5:46,0,562,0,129,1
0PL81-E-00001-20211004203014,PL81,C,4/10/2021 20:30,4/10/2021 23:09,0,159,0,114,1
0PL81-E-00001-20211004203111,PL81,C,4/10/2021 20:31,5/10/2021 12:08,0,937,0,76,1
0PL81-E-00001-20211004203318,PL81,C,4/10/2021 20:33,5/10/2021 4:01,0,448,0,225,1
0PL81-E-00001-20211004203329,PL81,C,4/10/2021 20:33,4/10/2021 20:35,0,2,0,296,1
0PL81-E-00001-20211004203405,PL81,C,4/10/2021 20:34,4/10/2021 20:35,0,1,0,173,1
0PL81-L-00083-20211004203443,PL81,C,4/10/2021 20:34,5/10/2021 4:00,0,446,0,83,1
0PL81-E-00001-20211004203501,PL81,C,4/10/2021 20:35,5/10/2021 8:02,0,687,0,152,1
0PL81-L-00108-20211004203504,PL81,C,4/10/2021 20:35,4/10/2021 20:35,0,0,0,108,1
0PL81-E-00001-20211004203512,PL81,C,4/10/2021 20:35,5/10/2021 9:01,0,746,0,431,1
0PL81-L-00107-20211004203532,PL81,C,4/10/2021 20:35,5/10/2021 9:40,0,785,0,107,1
0PL81-L-00173-20211004203552,PL81,C,4/10/2021 20:35,4/10/2021 20:36,0,1,0,173,1
0PL81-L-00286-20211004203603,PL81,C,4/10/2021 20:36,5/10/2021 21:51,0,1515,0,286,1
0PL81-L-00187-20211004203616,PL81,C,4/10/2021 20:36,5/10/2021 8:04,0,688,0,187,1
0PL81-L-00173-20211004203707,PL81,C,4/10/2021 20:37,4/10/2021 20:37,0,0,0,173,1
0PL81-L-00298-20211004203808,PL81,C,4/10/2021 20:38,4/10/2021 20:49,0,11,0,298,1
0PL81-E-00001-20211004203857,PL81,C,4/10/2021 20:38,5/10/2021 6:15,0,577,0,64,1
0PL81-E-00001-20211004203902,PL81,C,4/10/2021 20:39,5/10/2021 6:28,0,589,0,162,1
0PL81-E-00001-20211004204252,PL81,C,4/10/2021 20:42,5/10/2021 8:30,0,708,0,172,1
0PL81-E-00001-20211004204300,PL81,C,4/10/2021 20:43,6/10/2021 12:22,0,2379,0,247,1
0PL81-L-00057-20211004204414,PL81,C,4/10/2021 20:44,5/10/2021 3:56,0,432,0,57,1
0PL81-L-00324-20211004205004,PL81,C,4/10/2021 20:50,5/10/2021 19:34,0,1364,0,324,1
0PL81-L-00003-20211004205129,PL81,C,4/10/2021 20:51,5/10/2021 9:56,0,785,0,3,1
0PL81-E-00001-20211004205202,PL81,C,4/10/2021 20:52,5/10/2021 6:24,0,572,0,298,1
